OBJECTID,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
607,21,15,99,99
608,5,50,99,99
609,14,14,14,29
610,9,30,88,88
611,12,19,12,51
612,9,2,9,51
613,3,11,3,23
614,14,12,88,88
615,7,43,8,42
616,16,43,99,99
617,18,50,88,88
618,16,23,88,88
619,21,43,88,88
620,7,52,8,35
621,1,45,2,15
622,19,39,99,99
623,14,50,99,99
624,11,16,88,88
625,12,31,13,40
626,16,34,99,99
627,23,57,88,88
628,6,53,88,88
629,21,26,88,88
630,7,7,88,88
631,18,14,18,48
632,20,27,20,31
633,15,3,99,99
634,20,7,99,99
635,22,55,88,88
636,9,24,10,18
637,1,49,88,88
638,8,55,88,88
639,15,23,15,50
640,5,55,88,88
641,16,30,88,88
642,23,19,88,88
643,2,48,88,88
644,16,25,88,88
645,14,27,88,88
646,17,41,18,2
647,17,30,88,88
648,11,7,88,88
649,18,0,99,99
650,12,12,88,88
651,11,27,12,23
652,14,20,88,88
653,15,47,16,24
654,19,5,99,99
655,3,27,4,17
656,15,13,88,88
657,2,50,88,88
658,6,43,7,23
659,6,37,88,88
660,17,35,88,88
661,5,19,99,99
662,16,35,17,29
663,16,20,88,88
664,4,31,88,88
665,17,20,88,88
666,10,53,88,88
667,7,56,88,88
668,22,34,88,88
669,0,47,1,14
670,22,12,88,88
671,5,20,88,88
672,0,36,1,25
673,16,19,17,10
674,14,44,88,88
675,23,45,88,88
676,8,31,8,54
677,13,18,13,38
678,5,55,6,33
679,4,50,5,30
680,11,53,99,99
681,6,26,7,5
682,5,46,88,88
683,22,14,88,88
684,21,30,88,88
685,11,41,11,49
686,17,43,99,99
687,99,99,88,88
688,18,40,88,88
689,19,15,99,99
690,6,32,99,99
691,20,21,99,99
692,16,39,88,88
693,18,53,88,88
694,5,12,5,57
695,13,52,14,15
696,23,35,88,88
697,5,32,88,88
698,3,51,88,88
699,13,34,88,88
700,23,58,88,88
701,16,25,99,99
702,23,58,0,2
703,11,33,88,88
704,21,9,99,99
705,15,2,88,88
706,21,35,88,88
707,19,50,20,14
708,21,25,88,88
709,19,22,19,48
710,15,32,15,55
711,19,26,19,39
