OBJECTID,ST_CASE,FATALS,PERSONS,VE_TOTAL,VE_FORMS,PEDS,PERNOTMVIT,SCH_BUS,RAIL,WRK_ZONE
17975,240052,1,2,1,1,0,0,0,0000000,0
17976,240053,1,6,3,3,0,0,0,0000000,0
17977,240054,1,1,1,1,1,1,0,0000000,0
17978,240055,1,5,3,3,0,0,0,0000000,0
17979,240056,1,2,2,2,0,0,0,0000000,0
17980,240057,1,1,1,1,1,1,0,0000000,0
17981,240058,1,1,1,1,1,1,0,0000000,0
17982,240059,1,3,1,1,0,0,0,0000000,0
17983,240060,1,1,1,1,0,0,0,0000000,0
17984,240061,1,1,1,1,1,1,0,0000000,0
17985,240062,1,2,2,2,1,1,0,0000000,0
17986,240063,1,4,2,2,2,2,0,0000000,0
17987,240064,1,5,2,2,0,0,0,0000000,0
17988,240065,1,1,1,1,0,0,0,0000000,0
17989,240066,1,1,1,1,0,0,0,0000000,0
17990,240067,1,1,1,1,1,1,0,0000000,0
17991,240068,1,4,3,3,1,1,0,0000000,0
17992,240069,1,1,1,1,0,0,0,0000000,0
17993,240070,1,4,2,2,0,0,0,0000000,0
17994,240071,1,1,1,1,1,1,0,0000000,0
17995,240072,1,2,1,1,1,1,0,0000000,0
17996,240073,1,2,1,1,0,0,0,0000000,0
17997,240074,1,3,2,2,0,0,0,0000000,0
17998,240075,1,1,1,1,1,1,0,0000000,0
17999,240076,1,1,1,1,0,0,0,0000000,0
18000,240077,1,1,1,1,1,1,0,0000000,0
18001,240078,1,2,2,2,0,0,0,0000000,0
18002,240079,1,3,3,3,0,0,0,0000000,0
18003,240080,1,4,2,2,0,0,0,0000000,0
18004,240081,1,1,1,1,0,0,0,0000000,0
18005,240083,1,2,2,2,0,0,0,0000000,0
18006,240084,1,1,1,1,0,0,0,0000000,0
18007,240085,1,1,1,1,0,0,0,0000000,0
18008,240086,1,1,1,1,0,0,0,0000000,0
18009,240087,1,3,1,1,0,0,0,0000000,0
18010,240088,1,2,2,2,0,0,0,0000000,0
18011,240089,1,1,1,1,0,0,0,0000000,0
18012,240090,1,1,1,1,1,1,0,0000000,0
18013,240091,1,4,2,2,0,0,0,0000000,0
18014,240092,1,2,2,2,0,0,0,0000000,0
18015,240094,1,1,1,1,0,0,0,0000000,0
18016,240095,1,2,2,2,0,0,0,0000000,0
18017,240096,1,3,1,1,1,1,0,0000000,0
18018,240097,1,3,2,2,0,0,0,0000000,0
18019,240098,1,1,1,1,1,1,0,0000000,0
18020,240099,1,1,1,1,1,1,0,0000000,4
18021,240100,1,3,2,1,1,2,0,0000000,0
18022,240101,1,1,1,1,3,3,0,0000000,0
18023,240102,1,1,1,1,0,0,0,0000000,0
18024,240103,1,9,4,4,1,1,0,0000000,0
18025,240104,1,3,3,3,0,0,0,0000000,0
18026,240106,1,4,3,3,0,0,0,0000000,0
18027,240107,1,1,1,1,1,1,0,0000000,0
18028,240108,1,3,2,2,1,1,0,0000000,0
18029,240109,1,2,2,2,0,0,0,0000000,0
18030,240110,2,3,3,3,0,0,0,0000000,0
18031,240111,1,1,1,1,0,0,0,0000000,0
18032,240112,1,1,1,1,0,0,0,0000000,0
18033,240113,1,1,1,1,0,0,0,0000000,0
18034,240114,1,2,2,2,0,0,0,0000000,0
18035,240115,1,2,2,2,0,0,0,0000000,0
18036,240116,1,3,2,2,0,0,0,0000000,0
18037,240117,2,5,2,2,0,0,0,0000000,0
18038,240118,1,3,1,1,0,0,0,0000000,0
18039,240119,1,2,1,1,0,0,0,0000000,0
18040,240120,1,1,1,1,1,1,0,0000000,0
